"","n","V2"
"1406",1104,71
"1407",1104,72
"1408",1105,71
"1409",1106,71
"1410",1107,71
"1411",1108,25
"1412",1109,71
"1413",1110,60
"1414",1110,71
"1415",1111,72
"1416",1112,24
"1417",1112,60
"1418",1113,59
"1419",1114,83
"1420",1115,60
"1421",1116,60
"1422",1117,60
"1423",1118,71
"1424",1119,37
"1425",1120,37
"1426",1121,60
"1427",1122,60
"1428",1123,71
"1429",1124,60
"1430",1125,47
"1431",1125,59
"1432",1126,71
"1433",1127,72
"1434",1128,25
"1435",1129,83
"1436",1130,59
"1437",1131,59
"1438",1131,60
"1439",1132,36
"1440",1133,48
"1441",1134,60
"1442",1135,25
"1443",1135,37
"1444",1136,71
"1445",1136,83
"1446",1137,71
"1447",1138,71
"1448",1139,60
"1449",1140,48
"1450",1140,71
"1451",1141,37
"1452",1141,60
"1453",1141,72
"1454",1142,71
"1455",1143,71
"1456",1143,83
"1457",1144,48
"1458",1144,60
"1459",1145,60
"1460",1146,47
"1461",1147,71
"1462",1148,71
"1463",1149,48
"1464",1150,25
"1465",1151,72
"1466",1152,71
"1467",1152,72
"1468",1153,36
"1469",1154,71
"1470",1155,71
"1471",1155,72
"1472",1156,59
"1473",1157,83
"1474",1158,37
"1475",1159,48
"1476",1160,60
"1477",1160,71
"1478",1161,83
"1479",1162,59
"1480",1163,25
"1481",1164,71
"1482",1165,48
"1483",1165,60
"1484",1166,25
"1485",1167,60
"1486",1168,71
"1487",1169,24
"1488",1169,47
"1489",1170,71
"1490",1171,60
"1491",1172,47
"1492",1173,47
"1493",1174,48
"1494",1175,71
"1495",1176,59
"1496",1177,47
"1497",1178,25
"1498",1179,59
"1499",1180,60
"1500",1181,60
"1501",1181,71
"1502",1182,59
"1503",1182,72
"1504",1183,49
"1505",1183,59
"1506",1184,83
"1507",1185,37
"1508",1186,60
"1509",1187,59
"1510",1188,48
"1511",1188,72
"1512",1189,48
"1513",1190,83
"1514",1191,36
"1515",1192,48
"1516",1192,71
"1517",1193,47
"1518",1194,48
"1519",1195,25
"1520",1196,48
"1521",1196,72
"1522",1197,59
"1523",1198,60
"1524",1198,72
"1525",1199,37
"1526",1199,60
"1527",1200,71
"1528",1201,71
"1529",1202,59
"1530",1203,60
"1531",1204,48
"1532",1205,59
"1533",1206,71
"1534",1207,47
"1535",1208,47
"1536",1208,83
"1537",1209,13
"1538",1210,47
"1539",1210,48
"1540",1210,83
"1541",1211,60
"1542",1212,71
"1543",1213,48
"1544",1214,60
"1545",1215,71
"1546",1216,59
"1547",1217,48
"1548",1218,36
"1549",1219,60
"1550",1220,60
"1551",1221,47
"1552",1222,72
"1553",1223,71
"1554",1224,71
"1555",1225,83
"1556",1226,48
"1557",1227,4
"1558",1228,48
"1559",1229,59
"1560",1230,48
"1561",1231,83
"1562",1232,83
"1563",1233,24
"1564",1234,59
"1565",1234,71
"1566",1235,59
"1567",1236,60
"1568",1237,83
"1569",1238,48
"1570",1239,48
"1571",1240,13
"1572",1241,36
"1573",1242,59
"1574",1243,60
"1575",1244,72
"1576",1244,83
"1577",1245,24
"1578",1246,24
"1579",1247,83
"1580",1248,83
"1581",1249,72
"1582",1250,48
"1583",1251,60
"1584",1252,48
"1585",1253,37
"1586",1253,48
"1587",1253,60
"1588",1254,59
"1589",1255,83
"1590",1256,59
"1591",1257,59
"1592",1258,48
"1593",1259,59
"1594",1259,72
"1595",1260,48
"1596",1261,48
"1597",1261,71
"1598",1262,72
"1599",1263,59
"1600",1264,1
"1601",1264,60
"1602",1264,72
"1603",1265,36
"1604",1266,36
"1605",1267,24
"1606",1268,60
"1607",1269,71
"1608",1270,71
"1609",1271,48
"1610",1272,59
"1611",1273,59
"1612",1274,48
"1613",1275,24
"1614",1275,60
"1615",1276,60
"1616",1277,48
"1617",1277,71
"1618",1278,83
"1619",1279,59
"1620",1280,48
"1621",1281,83
"1622",1282,59
"1623",1283,60
"1624",1284,48
"1625",1284,83
"1626",1285,36
"1627",1285,59
"1628",1286,37
"1629",1287,48
"1630",1287,60
"1631",1287,72
"1632",1288,71
"1633",1289,24
"1634",1290,13
"1635",1291,48
"1636",1292,60
"1637",1293,72
"1638",1294,60
"1639",1295,48
"1640",1296,71
"1641",1297,82
"1642",1298,83
"1643",1299,60
"1644",1300,72
"1645",1301,47
"1646",1302,72
"1647",1303,72
"1648",1304,25
"1649",1304,72
"1650",1305,25
"1651",1306,60
"1652",1306,71
"1653",1307,37
"1654",1308,71
"1655",1309,71
"1656",1310,71
"1657",1311,24
"1658",1311,48
"1659",1312,48
"1660",1313,47
"1661",1314,71
"1662",1315,71
"1663",1316,47
"1664",1317,36
"1665",1318,48
"1666",1319,71
"1667",1320,59
"1668",1321,48
"1669",1321,72
"1670",1322,60
"1671",1323,59
"1672",1323,71
"1673",1324,71
"1674",1325,71
"1675",1326,59
"1676",1327,36
"1677",1328,49
"1678",1328,71
"1679",1329,24
"1680",1329,48
"1681",1329,70
"1682",1329,83
"1683",1330,72
"1684",1330,83
"1685",1331,60
"1686",1332,36
"1687",1333,48
"1688",1334,37
"1689",1335,59
"1690",1335,60
"1691",1336,59
"1692",1337,37
"1693",1338,59
"1694",1339,72
"1695",1340,59
"1696",1341,25
"1697",1342,60
"1698",1343,72
"1699",1344,48
"1700",1345,48
"1701",1345,59
"1702",1346,48
"1703",1346,59
"1704",1347,48
"1705",1348,24
"1706",1348,59
"1707",1349,60
"1708",1350,47
"1709",1350,71
"1710",1351,48
"1711",1352,13
"1712",1353,13
"1713",1354,72
"1714",1355,83
"1715",1356,71
"1716",1357,71
"1717",1358,13
"1718",1359,71
"1719",1360,48
"1720",1361,71
"1721",1361,83
"1722",1362,82
"1723",1363,59
"1724",1364,71
"1725",1365,48
"1726",1366,71
"1727",1367,83
"1728",1368,36
"1729",1368,59
"1730",1368,71
"1731",1369,60
"1732",1369,83
"1733",1370,71
"1734",1371,47
"1735",1372,83
"1736",1373,13
"1737",1374,60
"1738",1375,13
"1739",1376,59
"1740",1376,72
"1741",1376,83
"1742",1377,71
"1743",1378,48
"1744",1379,60
"1745",1380,37
"1746",1381,25
"1747",1382,37
"1748",1382,60
"1749",1383,60
"1750",1383,71
"1751",1384,59
"1752",1385,60
"1753",1385,72
"1754",1386,48
"1755",1387,59
"1756",1388,48
"1757",1389,48
"1758",1390,59
"1759",1391,25
"1760",1391,60
"1761",1392,48
"1762",1393,60
"1763",1394,59
"1764",1395,71
"1765",1396,60
"1766",1397,60
"1767",1398,47
"1768",1398,71
"1769",1399,48
"1770",1400,48
"1771",1401,59
"1772",1402,36
"1773",1402,71
"1774",1403,24
"1775",1403,36
"1776",1403,48
"1777",1404,71
"1778",1404,72
"1779",1405,25
"1780",1405,48
"1781",1405,60
"1782",1406,48
"1783",1406,83
"1784",1407,13
"1785",1408,83
"1786",1409,72
"1787",1410,71
"1788",1411,71
"1789",1412,24
"1790",1413,71
"1791",1414,60
"1792",1415,60
"1793",1416,13
"1794",1416,37
"1795",1417,37
"1796",1418,13
"1797",1419,60
"1798",1420,48
"1799",1420,59
"1800",1420,71
"1801",1421,60
"1802",1422,26
"1803",1423,71
